"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"бул. Серебристый д. 9 к. 2 (школа № 43),  бул. Серебристый д. 11 к. 2 (Д/С № 13) (К-к 7533),  бул. Серебристый д. 11 к. 1 (К-к № 7537),  бул. Серебристый д. 13 (К-к № 7536),  бул. Серебристый д. 15 (ГРЩ-1,  ГРЩ-2) (К-к № 7535)",2023-09-22 10:00:00,2023-09-22 18:00:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Ломоносовский район,д.Лаголово,,2023-09-22 10:00:00,2023-09-22 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-482
Ленинградская область,Всеволожский район,д.Борисова Грива,,2023-09-22 10:00:00,2023-09-22 17:00:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",2023-09-22 10:00:00,2023-09-22 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,2023-09-22 10:00:00,2023-09-22 17:00:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,2023-09-22 10:00:00,2023-09-22 20:00:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Зверинская,  д. 28-30,  д. 32,  д. 34",2023-09-22 10:00:00,2023-09-22 18:00:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Лодейнопольский район,д.Новая Слобода,,2023-09-22 10:00:00,2023-09-22 13:00:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Ломоносовский район,"ДНП Простоквашино,  ДНП Фаворит",,2023-09-22 10:00:00,2023-09-22 16:00:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы (Заявка №52027)
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"М.Блюхера пр.,  д.67/2,  65,  63/2,  67/1,  67/3,  69; пр.Энергетиков,  д.70",2023-09-22 10:00:00,2023-09-22 20:00:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,2023-09-22 10:00:00,2023-09-22 20:00:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Бокситогорский район,д. Костерино,,2023-09-22 10:00:00,2023-09-22 16:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Московский район,Санкт-Петербург,"7-й Предпортовый пр. д. 14,  лит. А",2023-09-22 10:00:00,2023-09-22 16:00:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Пушкинский район,г. Пушкин,Колпинское ш. д. 35А,2023-09-22 10:00:00,2023-09-22 20:00:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Пушкинский район,Пушкин,"Средняя,  д. 22, 15, 3,  Оранжерейная,  д. 6/14,  27/12,  4,  Леонтьевская,  д. 3/7,  11,  18",2023-09-22 10:00:00,2023-09-22 17:00:00,Южные электрические сети,Пушкинский РЭС,"Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября"
Ленинградская область,Гатчинский район,д.Хюттелево,,2023-09-22 10:00:00,2023-09-22 17:00:00,Южные электрические сети,Красносельский РЭС,ТП-5793
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  44,  36а,  30,  28,  26,  24,  22,  16,  12,  14а,  18, 20,  38,  40,  42,  46,  48,  50, 46а.",2023-09-22 10:00:00,2023-09-22 21:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Приозерский район,п.Тракторное,полностью,2023-09-22 10:00:00,2023-09-22 17:00:00,Выборгские ЭС,Приозерский РЭС,ф.511-02 ТП-530  яч.ВН-10 ввода ф.511-02 протяжка контактных соединений.
Ленинградская область,Тосненский район,Федоровское ГП,Центральная,2023-09-22 10:00:00,2023-09-22 16:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Лодейнопольский район,Ветхое Село,,2023-09-22 09:30:00,2023-09-22 16:00:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Бокситогорский район,д.Мозолево-1,,2023-09-22 09:00:00,2023-09-22 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район,д.Горки (рядом д.Мины),,2023-09-22 09:00:00,2023-09-22 17:00:00,Гатчинские ЭС,Тосненский РЭС,
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.661, Правды ул,  д.3 ,  Правды ул,  д.5 ,  Правды ул,  д.5 лит.А,  пом.4Н,  Правды ул,  д.6А,  Правды ул,  д. участок 1 (восточнее д.4б,  лит.А по ул. Правды),  Приморское Шоссе,  д.659 ,  Пер. Правды,  д.6 ,  Правды ул,  д.5 пом.3-Н,  Правды ул,  д.5 пом.2-Н,  Правды ул,  д.6",2023-09-22 09:00:00,2023-09-22 20:00:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока
Ленинградская область,Бокситогорский район,д.Золотово,,2023-09-22 09:00:00,2023-09-22 17:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Всеволожский район,"д.Мистолово, д.Корабсельки",,2023-09-22 09:00:00,2023-09-22 17:00:00,Северные электрические сети,Сертоловский РЭС,
Ленинградская область,Волосовский район,Волна,,2023-09-22 09:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,2023-09-22 09:00:00,2023-09-22 16:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Лужский район,Гверездно,,2023-09-22 09:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Киришский район,СТ Рассвет,Полностью,2023-09-22 09:00:00,2023-09-22 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Тосненский район,г. Любань,"жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого,",2023-09-22 09:00:00,2023-09-22 18:30:00,Гатчинские ЭС,Тосненский РЭС,Чистка трассы ВЛ от ДКР
Ленинградская область,Всеволожский район,д.Борисова Грива,,2023-09-22 09:00:00,2023-09-22 17:00:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,2023-09-22 09:00:00,2023-09-22 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",2023-09-22 09:00:00,2023-09-22 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
